日期,識別碼,植物編號,植物名稱,形相代號,節氣,候別,果實分數,花的分數,葉子分數
2022/3/27,1,0,緬梔,1,春分,第2候,2.5,1,1
2022/3/27,2,1,小梗木薑子,1,春分,第2候,2.5,1,1
2022/3/27,3,2,相思樹,1,春分,第2候,3,1,1
2022/3/27,4,3,降真香,1,春分,第2候,3,1,2
2022/3/27,5,4,球花嘉賜木,1,春分,第2候,0.5,1,3
2022/3/27,6,5,血桐,1,春分,第2候,3,2,1
2022/3/27,7,6,灰木,2,春分,第2候,2,2,1
2022/3/27,8,7,狗骨仔,1,春分,第2候,2.5,1,1
2022/3/27,9,8,狗骨仔,2,春分,第2候,2.5,2,2
2022/3/27,10,9,紅脈赤楠,1,春分,第2候,2.5,2,1
2022/3/27,11,10,台灣山桂花,2,春分,第2候,2.5,1,3
2022/3/27,12,11,細葉饅頭果,1,春分,第2候,2.5,2,1
2022/3/27,13,12,球花嘉賜木,1,春分,第2候,2.5,1,1
2022/3/27,14,13,相思樹,1,春分,第2候,2.5,1,1
2022/3/27,15,14,血桐,1,春分,第2候,2.5,3,1
2022/3/27,17,15,萬桃花,1,春分,第2候,2.5,2,3
2022/3/27,18,16,山油麻,1,春分,第2候,2.5,2,1
2022/3/27,19,17,構樹,1,春分,第2候,2,3,1
2022/3/27,20,18,白毛臭牡丹,2,春分,第2候,2.5,2,1
2022/3/27,21,19,白匏子,1,春分,第2候,2.5,1,1
2022/3/27,23,20,白匏子,1,春分,第2候,2.5,1,1
2022/3/27,24,21,苦楝,1,春分,第2候,2,3,1
2022/3/27,26,22,狗骨仔,2,春分,第2候,2.5,3,1
2022/3/27,27,23,降真香,1,春分,第2候,2.5,1,2
2022/3/27,28,24,小錦蘭,3,春分,第2候,2.5,3,1
2022/3/27,29,25,雙面刺,3,春分,第2候,2.5,3,1
2022/3/27,31,26,大青,2,春分,第2候,2,1,1
2022/3/27,33,27,球花嘉賜木,1,春分,第2候,3,1,1
2022/3/27,34,28,球花嘉賜木,1,春分,第2候,2.5,1,3
2022/3/27,35,29,台灣野茉莉,2,春分,第2候,2,3,1
2022/3/27,36,30,對面花,2,春分,第2候,2,2,1
2022/3/27,37,31,狗花椒,1,春分,第2候,3,1,1
2022/3/27,38,32,毛瓣蝴蝶木,2,春分,第2候,2.5,1,1
2022/4/2,1,0,緬梔,1,春分,第3候,2.5,1,1
2022/4/2,2,1,小梗木薑子,1,春分,第3候,2.5,1,1
2022/4/2,3,2,相思樹,1,春分,第3候,2.5,1,1
2022/4/2,4,3,降真香,1,春分,第3候,2.5,2,2
2022/4/2,5,4,球花嘉賜木,1,春分,第3候,3,1,2
2022/4/2,6,5,血桐,1,春分,第3候,2.5,2,1
2022/4/2,7,6,灰木,2,春分,第3候,2,3,1
2022/4/2,8,7,狗骨仔,1,春分,第3候,2.5,1,1
